gene.x,gene.y,weight.AF_confidence
PMPCA,PMPCB,0.842
AP2S1,HSPA6,0.816
CLIC1,SHANK2,0.736
GIGYF1,YWHAG,0.728
GNAI1,TNFAIP8,0.836
PPP2R1A,PPP2R5D,0.826
CBLL1,UBE2A,0.744
CNOT1,CNOT10,0.77
CNOT9,OBI1,0.744
DCAF5,DDB1,0.804
FAM53B,YWHAH,0.754
GID8,RANBP10,0.806
IFT80,TRAF3IP1,0.784
LSM2,LSM5,0.83
RHOG,SIPA1L3,0.766
STX16,VPS45,0.822
TSN,TTLL12,0.834
ATF7,MED20,0.744
BBX,RBBP4,0.744
BBX,RBBP7,0.744
DCAF8,DDB1,0.812
FAM117A,YWHAH,0.752
FAM53C,YWHAG,0.748
GAN,NEFL,0.774
GLCCI1,YWHAH,0.742
GNAI1,SPTBN1,0.738
GTF2H4,GTF2H5,0.784
MED17,MED20,0.78
P3H4,PLOD1,0.788
PARD3,YWHAG,0.718
PHKA1,PHKG2,0.818
RNF20,UBE2A,0.72
XRCC1,YPEL5,0.714
ANKRD11,HDAC3,0.7174
ACTL6A,ARID1B,0.718
AP2S1,EPS15L1,0.71
GNAI1,RIC8A,0.81
NSUN4,UBR1,0.812
PPP2R1B,PPP2R5D,0.808
AGO2,TNRC6A,0.738
CPSF1,CPSF4,0.812
DCAF1,DDB1,0.792
ELP1,LSM2,0.794
EP300,WDR61,0.728
FAM117A,YWHAG,0.738
FAM53C,YWHAH,0.742
GABARAP,MKI67,0.708
GABARAP,SPECC1,0.7
GABARAPL2,ITPRID2,0.696
GNAI1,PLEKHG3,0.718
GNAI1,SPTBN2,0.728
HDAC1,NCOR1,0.722
HDAC1,NCOR2,0.722
HINT1,PDCD11,0.722
LRCH3,YWHAG,0.72
MEAK7,SVIL,0.732
MED14,MED20,0.77
MYO5B,RHOG,0.772
OAT,PDCD11,0.754
RBBP4,TNRC18,0.716
RBBP7,TNRC18,0.716
YWHAG,ZC3H18,0.714
AP2S1,EIF3G,0.728
GNAI1,GPSM1,0.742
HDAC2,SIN3A,0.758
MOGS,RFX3,0.762
AAAS,NDC1,0.794
ABI1,NCKAP1,0.786
CLUAP1,IFT80,0.782
CRTAP,P3H3,0.774
DNAJC21,IDE,0.776
EFTUD2,USP39,0.802
EIF3I,TRMU,0.808
GABARAPL2,SPECC1,0.69
HDAC2,NCOR1,0.712
HDAC2,NCOR2,0.712
KLHL13,KLHL9,0.802
PDSS1,PDSS2,0.796
SCAF1,YWHAG,0.704
SKIV2L,TTC37,0.792
TIMM10,TIMM9,0.798
YWHAH,ZC3H18,0.706
HDAC1,SIN3A,0.7518
ARID1B,SMARCB1,0.718
NUP155,SMPD4,0.778
AGO2,TNRC6B,0.724
ANXA1,DBN1,0.718
CNOT10,CNOT11,0.784
COA7,MCM10,0.698
CREBBP,WDR61,0.71
DCAF7,REPS1,0.716
EIF3A,EIF3M,0.734
EIF4ENIF1,RCC1L,0.714
GTF2H1,GTF2H3,0.726
HDAC1,SIN3B,0.752
IDE,SUPT16H,0.746
MYO5A,RHOG,0.754
NME6,PRRC2A,0.688
NUP153,YWHAG,0.692
AP2S1,SRPRA,0.744
COA7,KIAA0232,0.69
CORO1A,RAI14,0.724
DHCR24,SCN1A,0.754
HDAC3,SETD5,0.698
CADM1,SH3BGRL2,0.744
CCDC8,YWHAH,0.71
CNOT1,COA7,0.7
DBN1,RHOG,0.71
DCAF7,EDC4,0.698
EIF3I,TJP1,0.692
ERCC3,GTF2H4,0.778
HDAC2,SIN3B,0.744
HYPK,NAA15,0.794
IDH3A,PDCD11,0.712
KIAA1671,RHOG,0.684
NDUFAB1,SIRT5,0.754
P3H1,P3H4,0.758
PATL1,YWHAG,0.728
ANKRD11,KPNA2,0.686
AP2S1,PPM1B,0.768
EIF4E2,GIGYF1,0.684
RAE1,RAI1,0.682
CNOT2,COA7,0.698
CYB5R3,SPTBN1,0.692
GTF2H3,GTF2H4,0.762
MED15,MED16,0.73
P3H3,P3H4,0.748
SEC16A,YWHAG,0.682
AKR1B10,NRXN1,0.704
ANKRD11,KPNA4,0.682
CARNMT1,NR3C2,0.684
CPSF1,KMT2E,0.714
PAX5,POLB,0.726
ACTL6A,CAP1,0.718
B3GALT6,ZMYM4,0.682
CCDC8,YWHAG,0.692
CEP170,MTX2,0.67
COA7,SAV1,0.716
CUL2,PLBD2,0.748
CYB5R3,SPECC1,0.682
DCAF7,DDA1,0.768
DDA1,DDB1,0.772
EDC3,YWHAH,0.688
GATAD2A,RBBP7,0.704
GNAI1,PPP1R9A,0.694
HDAC1,MTA1,0.74
HDAC1,MTA2,0.742
HDAC1,MTA3,0.75
HDAC2,MTA1,0.738
HDAC2,MTA2,0.742
HDAC2,MTA3,0.748
HDAC3,MYH14,0.692
HDAC3,USP9X,0.74
MRPL40,MRPL46,0.742
OPA1,PPIC,0.728
PALM2AKAP2,WDR1,0.75
PDCD11,XPNPEP3,0.712
POLB,UBN2,0.676
POLB,XRCC1,0.712
SEC16A,YWHAH,0.674
YWHAG,ZC3H4,0.672
ANKRD11,KPNA3,0.674
DYRK1A,YWHAG,0.684
SYNGAP1,YWHAG,0.684
SYNGAP1,YWHAH,0.686
TCF20,TTC26,0.672
AP2B1,RAB18,0.72
AP2B1,RAE1,0.73
AP3D1,WDR61,0.714
CAMSAP3,RAE1,0.672
CAP1,XPNPEP3,0.734
CCDC8,COA7,0.682
CCDC8,DCAF7,0.698
COA7,MAP7D3,0.666
COA7,ZNF281,0.67
CPSF2,CPSF3,0.752
CTBP1,CTBP2,0.752
CUL3,KLHL9,0.738
DAPK1,GABARAPL2,0.728
DCAF7,PPP1R9B,0.682
DPH6,RO60,0.762
EDC3,YWHAG,0.682
GABARAP,PELP1,0.702
GABARAP,SVIL,0.672
GNAI1,PPP1R9B,0.688
GNAI1,SPECC1L,0.676
HDAC1,RCOR2,0.726
JPH1,MARVELD1,0.694
MED20,PHF21A,0.67
MYO18A,WDR1,0.696
NUP37,ZW10,0.734
PSMA2,ZNF410,0.7
SARS2,TARS2,0.756
WDR48,ZC2HC1A,0.732
SRPRA,SRPRB,0.7308
AP2S1,YME1L1,0.702
DYRK1A,YWHAH,0.678
GRIN2B,YWHAG,0.672
TCF4,YPEL5,0.648
ACBD3,NAA15,0.73
AP1B1,RAB18,0.71
ARHGEF1,PPIC,0.69
ARMC8,GID8,0.752
BRD2,KPNA2,0.684
CDC42BPB,GABARAP,0.676
CLIC1,RBM10,0.67
CRTAP,NCOA3,0.662
DCAF7,GTSE1,0.676
DCAF7,MARK2,0.682
ERMP1,TDRKH,0.74
FOXK1,KPNA3,0.688
GABARAP,LIMA1,0.644
HDAC1,RCOR1,0.72
HDAC1,RCOR3,0.72
HDAC2,RCOR1,0.718
HDAC2,RCOR2,0.716
IFT88,TTC30A,0.73
LRRFIP2,WDR1,0.704
LSM6,PRPF3,0.66
NRXN1,RBBP4,0.694
PPIC,SMOC1,0.672
PPP2CA,PPP2CB,0.76
PFDN5,TRAF7,0.694
AKAP8,PIGT,0.68
ANP32E,KPNA1,0.706
ANP32E,KPNA2,0.706
BRD2,KPNA6,0.672
CDC73,COA7,0.68
CDC73,KPNA2,0.686
CUL3,KLHL13,0.722
CYB5R3,PDCD11,0.658
DCAF7,ZMYM4,0.656
DDX20,GEMIN4,0.724
EIF3F,EIF3M,0.726
FLOT2,GNAI1,0.692
GABARAP,PPP1R9A,0.64
GABARAP,RAI14,0.648
GABARAPL2,P4HB,0.712
GNAI1,SPECC1,0.66
HDAC2,RCOR3,0.712
HEATR3,TNPO1,0.736
IWS1,KPNA2,0.672
KPNA1,RFX1,0.674
KPNA2,OBSL1,0.668
KPNA3,NUP50,0.69
KPNA6,NUP50,0.692
LEO1,WDR61,0.672
LSM1,ZC3H4,0.634
MDC1,YPEL5,0.638
METTL15,NSUN4,0.732
MTMR1,PDCD11,0.69
PRPF3,PRPF4,0.698
RPRD2,SARS2,0.668
SCRIB,SH3BGRL2,0.658
ANKRD11,EEFSEC,0.65
ANKRD11,YWHAG,0.64
COA7,TBR1,0.646
DCAF7,DSCAM,0.654
DPYSL2,DPYSL4,0.732
KMT2E,TBL1XR1,0.642
NXN,TBR1,0.684
ABI1,CYFIP2,0.722
AKAP8,COA7,0.646
ANP32B,KPNA1,0.7
ANP32B,KPNA2,0.702
ANP32B,KPNA6,0.7
ANP32E,KPNA5,0.698
ANP32E,KPNA6,0.698
B3GALT6,ZMYM2,0.652
BCR,DCAF7,0.664
BRD2,KPNA1,0.666
BRD2,KPNA5,0.668
CNOT3,PFDN5,0.642
CTR9,IDE,0.682
CYB5R3,SPECC1L,0.648
DNAJC21,GABARAP,0.646
EIF4E2,SCAF1,0.636
EIF4ENIF1,RAE1,0.652
FARS2,NARS2,0.728
FBXO45,MKI67,0.638
FNTB,ZC3H18,0.664
GATAD2A,RBBP4,0.672
HDAC3,LEMD2,0.68
IFIT5,PFDN5,0.746
KDM1A,ZMYM2,0.678
KPNA1,NUP50,0.682
KPNA2,RBM15B,0.662
KPNA5,NUP50,0.682
LEMD2,RAE1,0.69
LMO7,POLDIP2,0.642
LSR,WDR1,0.688
MCM10,WDR48,0.698
MDC1,MED23,0.686
MED16,PHF21A,0.694
MRPS2,MRPS9,0.684
NAP1L4,PDCD11,0.662
PFDN5,PFDN6,0.718
PKP4,YWHAG,0.66
PRPF8,USP39,0.71
RAE1,SAP30,0.718
SPTBN1,WDR1,0.664
TROAP,WDR61,0.656
ANKRD11,KPNA5,0.638
HDAC1,PHF12,0.656
HDLBP,TTLL12,0.66
MED24,MYT1L,0.674
POLDIP2,SETD5,0.638
SAAL1,TEK,0.648
SETD5,TBL1XR1,0.636
ABLIM1,GABARAP,0.618
ADGRL2,MTX2,0.638
ANP32B,KPNA5,0.69
BEND3,PLOD1,0.686
CDC42BPA,GABARAPL2,0.654
CEP164,HDAC3,0.644
CHD4,FBXO3,0.648
CLTC,IDE,0.668
COA7,ODF2,0.634
COA7,ZMYM4,0.632
COLGALT1,PRPF6,0.66
CORO1B,PPP1R9A,0.654
CRTAP,PRPF3,0.664
CTSA,LIG3,0.656
DHX57,WDR61,0.67
DSG2,RHOG,0.646
FMNL2,SH3BGRL2,0.668
GABARAP,MYO1C,0.68
GABARAPL2,ITPR3,0.698
GABARAPL2,PPP1R9B,0.626
GCN1,RABGGTB,0.672
GNAI1,MPRIP,0.648
GNAI1,PDCD11,0.66
GPX8,HSPA6,0.728
GXYLT1,PPIC,0.712
HBP1,HDAC1,0.678
HDGFL2,KPNA6,0.66
IWS1,KPNA1,0.654
KIF7,MCAT,0.648
KPNA2,NUP50,0.676
KPNA4,NUP153,0.644
KPNA4,NUP50,0.678
KPNA4,OBSL1,0.646
LEO1,YWHAG,0.648
LSM1,PATL1,0.658
METTL15,RPRD2,0.634
METTL15,SLC39A6,0.648
MRPS2,MRPS23,0.704
NUP205,TMEM209,0.718
P4HA1,TNRC6B,0.64
PLOD1,PLOD3,0.724
RAD21,STAG2,0.688
RAE1,SPRYD3,0.678
RBM10,TSNAX,0.636
SELENOF,UGGT1,0.732
CIAO1,MBD5,0.63
CPVL,PHF21A,0.656
KPNA1,RFX3,0.662
KPNA3,TRIP12,0.666
PPP2R5D,PRR14,0.66
RAI1,SCAI,0.638
ACTL6A,SMARCC2,0.638
AGPS,ATXN2,0.646
AMBRA1,COA7,0.64
ANKRD11,POLDIP2,0.628
BMP2K,PLOD1,0.656
BRMS1L,HDAC1,0.682
CCDC8,CNOT10,0.674
CDC73,KPNA1,0.664
CDC73,KPNA3,0.66
CDC73,KPNA5,0.662
CDC73,YWHAG,0.642
CDK5RAP1,MICU2,0.706
CEP170,PPIC,0.62
CIP2A,PPIC,0.68
CLTC,GNAI1,0.648
COA7,OBI1,0.632
CORO1B,MEAK7,0.712
CORO1B,PPP1R9B,0.654
CORO1C,PPP1R9A,0.646
EPS15,NME3,0.616
FARS2,METTL15,0.706
FNTB,SEC16A,0.63
GABARAPL2,LSR,0.618
IDE,SPTBN1,0.654
IWS1,KPNA5,0.646
IWS1,KPNA6,0.646
KPNA2,NUP153,0.636
KPNA2,PUM3,0.658
KPNA3,LEO1,0.656
KPNA3,NUP153,0.638
KPNA6,NUP153,0.636
LIG3,POLB,0.668
MCAT,PAXIP1,0.632
METAP1D,NADK2,0.658
MSI2,SIRT5,0.662
NCBP2,NDUFAB1,0.69
PELP1,RRP9,0.682
PFDN5,THUMPD3,0.708
RCC1L,TARS2,0.708
STIM1,TFB2M,0.66
ARID1B,SMARCD1,0.64
CDH2,CTNNB1,0.646
CREBBP,CRTAP,0.626
CRTAP,PRR12,0.62
CTNNB1,TCF7L2,0.652
DPYSL2,DPYSL5,0.706
GIGYF1,SPIN1,0.614
IDE,SETD5,0.656
KIAA0232,SNX17,0.628
METTL15,UBR1,0.71
MYT1L,RAE1,0.626
PHF2,WDR61,0.628
AAAS,NUP35,0.678
ANKRD11,CPSF2,0.628
BRMS1,HDAC1,0.684
BRMS1,HDAC2,0.682
BRMS1L,HDAC2,0.674
CABIN1,POLDIP2,0.64
CALU,RBM10,0.62
CDC42BPA,GABARAP,0.638
CDC73,KPNA6,0.654
CNOT10,ZNF281,0.648
CPVL,ZNRD2,0.704
CYB5R3,DNAJC21,0.64
CYB5R3,MPHOSPH10,0.63
DCAF1,YWHAG,0.676
DCAF1,YWHAH,0.674
DCAF7,DOCK6,0.68
DCAF7,LEO1,0.64
DDA1,YWHAG,0.698
DDB1,RAD54L2,0.652
EIF4E2,ZC3H18,0.622
FBXO45,LIG3,0.664
GABARAP,NUMA1,0.604
GABARAPL2,LIMA1,0.602
GLCCI1,YWHAG,0.64
GXYLT1,IMMT,0.648
HBP1,HDAC2,0.664
HDAC1,XRCC1,0.66
HDAC2,XRCC1,0.66
HDAC3,NKTR,0.622
HDAC3,WDR61,0.706
HDGFL2,KPNA1,0.644
HYOU1,IDE,0.668
IDE,PRRC2A,0.648
IDE,SPTBN2,0.646
IDH3A,NRP1,0.66
IWS1,KPNA3,0.654
KDM1A,RCOR1,0.686
KDM1A,RCOR2,0.686
KDM1A,RCOR3,0.688
KPNA1,NUP153,0.628
KPNA4,LEO1,0.648
LRCH1,XPNPEP3,0.644
LRCH3,YWHAH,0.624
LSM2,TNRC6A,0.6
LSM6,TNRC6A,0.6
MEAK7,PDCD11,0.64
MED14,MED17,0.678
MED14,MED29,0.668
METAP1D,NDUFS2,0.65
METTL15,ZYX,0.638
MRPS2,MRPS28,0.686
NDUFAF3,PPP2R5D,0.69
NUDT6,PRRC2A,0.61
NUP153,WDR61,0.62
OLA1,PAWR,0.664
P4HB,UBR1,0.694
PELP1,TEX10,0.678
PLOD1,RFC1,0.648
PLOD1,TNRC6B,0.636
PLOD3,TNRC6B,0.636
POLDIP2,SPECC1L,0.626
PRPF4,PRPF6,0.676
RAE1,TOP2B,0.656
RBM15,TTLL12,0.652
RFC1,RFC4,0.654
SGF29,UBN2,0.616
SPIN1,YWHAG,0.654
VIRMA,ZC3H13,0.654
AP2S1,EPS15,0.604
ARID1B,SMARCD2,0.632
CNOT10,KIAA0232,0.634
CNOT9,KIAA0232,0.61
CTNNB1,LEF1,0.654
ID3,TCF4,0.602
AAAS,NUP98,0.64
ANP32B,WDR61,0.694
ARHGEF1,FUCA2,0.642
CALR,LIMA1,0.622
CAVIN1,SH3BGRL2,0.604
CDC42BPB,GABARAPL2,0.638
CDC42BPB,MEAK7,0.644
COA7,JPH1,0.632
COA7,SBF1,0.642
CRTAP,EP300,0.62
CYB5R3,PRRC2A,0.604
EIF4ENIF1,MTX2,0.612
EPB41L2,GNAI1,0.624
ERLEC1,SEL1L,0.676
FAM91A1,MCAT,0.666
FASTKD2,FECH,0.686
FBXO45,LEMD2,0.648
GABARAP,NOL10,0.638
HDAC1,SAP130,0.622
HDAC3,LMO7,0.616
HDAC3,SPECC1L,0.622
HDAC3,WWP2,0.632
HYPK,TTLL12,0.706
IDE,ITPRID2,0.652
IWS1,KPNA4,0.646
KPNA1,SIN3A,0.622
KPNA1,SP2,0.64
KPNA2,SIN3A,0.62
KPNA3,OBSL1,0.622
KPNA5,NUP153,0.618
KPNA6,LEO1,0.636
LACTB,PDCD11,0.636
LRCH1,YWHAG,0.618
LRCH2,YWHAG,0.616
MEAK7,PALS1,0.648
MED15,MED24,0.666
MPRIP,SH3BGRL2,0.598
NDUFA10,PPIC,0.688
NRXN2,PYGL,0.644
NUP107,NUP85,0.692
P4HB,TJP1,0.612
PLBD2,RBM12,0.636
SEC16A,XPNPEP3,0.614
SPTBN2,WDR1,0.632
TIMM10,TIMM8B,0.69
YWHAH,ZC3H4,0.606
AXIN1,CTNNB1,0.63
CHD8,KPNA1,0.618
CHD8,KPNA5,0.62
IDE,PRR12,0.636
KMT2E,TBL1X,0.602
LDB1,LMO4,0.614
ACADSB,GXYLT1,0.68
ADGRL2,METAP1D,0.606
APC,YWHAG,0.606
ARMC8,SMAD4,0.662
BCKDK,PAXIP1,0.62
CALU,OCIAD1,0.64
CAPN2,PRRC2A,0.614
CLPX,POLDIP2,0.624
CNOT10,OBI1,0.638
COPS2,GPS1,0.67
CRTAP,TRIM47,0.644
CYB5R3,DBN1,0.62
CYB5R3,SPTBN2,0.61
DDX20,EFTUD2,0.648
DPYSL4,DPYSL5,0.688
EIF2B4,NPEPPS,0.67
EIF3A,EIF3F,0.632
EP300,LSM1,0.62
FARP2,MOV10,0.664
FNTB,TSC1,0.62
FTH1,RANBP2,0.614
GABARAP,LSR,0.594
GABARAPL2,PPP1R12A,0.602
HDAC3,LEO1,0.624
HDAC3,XRCC5,0.628
HDGFL2,KPNA5,0.628
IMMT,RCC1L,0.636
KPNA2,PDS5B,0.648
KPNA2,PELP1,0.622
KPNA2,RRP9,0.638
KPNA3,NKTR,0.61
KPNA4,SUPT16H,0.62
KPNA6,RRP9,0.636
LRCH2,YWHAH,0.608
MCM3AP,PPP2R2D,0.62
METAP1D,MRPL49,0.684
METAP1D,MRPS28,0.668
MRPS2,NUP155,0.68
MTX2,PRRC2A,0.596
NDUFAF3,PDSS2,0.684
NUP107,NUP98,0.644
NUP37,VAPA,0.682
PFDN6,PRPF3,0.61
PPFIA1,PPP2CB,0.606
PPFIA3,PPP2CB,0.604
PRKCI,YWHAG,0.626
RAE1,ZNF410,0.638
SAV1,STK3,0.648
CHD8,KPNA2,0.606
CLTC,CORO1A,0.612
COA7,NR3C2,0.592
DNMT3A,KPNA3,0.61
GIGYF1,LSM2,0.574
HDAC3,KMT2E,0.598
SETD5,TBL1X,0.596
AAAS,KIF14,0.612
AHCYL1,IDE,0.66
ANXA1,MYO1C,0.652
ARHGEF1,NADK2,0.606
CASK,MTMR1,0.65
CCDC8,SNX17,0.626
CEP170,METTL15,0.594
CHD1,KPNA2,0.61
CHD1,KPNA4,0.61
CLTC,CYB5R3,0.614
CRTAP,NCOA1,0.6
CSNK2A2,GTF2H4,0.662
DBN1,SARS1,0.638
DDB1,TCF25,0.646
EIF2B4,SAAL1,0.634
EIF3G,YWHAG,0.628
FNTB,UBR5,0.63
GTF2H4,WDR61,0.66
HDAC2,SAP130,0.606
HDAC3,MYO6,0.628
HLA-C,MTX2,0.666
IFIT5,SART3,0.624
IMMT,METAP1D,0.604
KPNA1,NKTR,0.602
KPNA1,PUM3,0.626
KPNA5,LEO1,0.622
KPNA5,PUM3,0.626
KPNA6,PUM3,0.626
LMNB2,XPO5,0.662
LSM2,TNRC6B,0.576
MARVELD1,NRXN1,0.632
MMS19,PPP2R2D,0.66
MOV10,RO60,0.668
NDUFAF3,NDUFAF4,0.634
NKTR,YWHAG,0.59
NUP133,NUP160,0.652
OLA1,TOM1,0.642
P3H4,TNRC6B,0.594
PHF23,RBBP4,0.64
POLB,RFC1,0.594
RHOG,SPTBN1,0.596
RO60,XRN1,0.658
SNRNP200,USP39,0.66
SNRPA,SPIN1,0.628
SPIN1,TNRC6B,0.584
USP54,YWHAG,0.594
CHD8,CSNK2A2,0.606
GRIN2B,MRPS2,0.608
HDLBP,IDH3A,0.604
ABLIM1,IDE,0.646
ADGRL2,MICU2,0.606
AGPS,CEP170,0.606
AP2A1,AP2M1,0.632
AP2A2,AP2M1,0.634
AP2S1,RNGTT,0.638
ARHGEF1,MICU2,0.612
CDC73,POLDIP2,0.624
CHD1,KPNA1,0.602
CHD4,IDE,0.614
CNOT9,MCM10,0.61
COA7,IQSEC1,0.598
COA7,PKP4,0.602
COLGALT1,MRPL45,0.666
CPVL,UBN1,0.604
CRTAP,NCOR2,0.586
CSNK2A2,PELP1,0.612
CYB5R3,LIMA1,0.592
CYB5R3,ZCCHC9,0.632
DCAF7,LRCH3,0.604
DCAF7,MAGED2,0.612
DCAF7,TSC1,0.59
DDA1,YWHAH,0.666
ECH1,METAP1D,0.62
EIF3K,EIF3M,0.656
EIF4ENIF1,MRPL49,0.568
ELP1,WDR11,0.634
EXOC1,MEN1,0.618
EXOSC2,HDGFL2,0.592
FAM53B,FNTB,0.64
FBXW11,ZMYM2,0.594
GABARAP,PDCD11,0.594
HDAC1,TNRC18,0.588
HDAC1,UBXN4,0.614
HDGFL2,KPNA2,0.614
IDE,MYH14,0.614
IFT81,NUDT12,0.612
KPNA2,MTREX,0.632
KPNA2,SUPT6H,0.63
KPNA4,NKTR,0.594
KPNA4,RAD21,0.616
KPNA5,RRP9,0.62
KPNA5,SIN3A,0.598
KPNA6,MTREX,0.634
KPNA6,NKTR,0.596
KPNA6,PDS5B,0.634
MARS1,NUP37,0.63
MEAK7,NRXN2,0.626
METAP1D,SARS2,0.636
METTL15,OPA1,0.602
METTL15,PARL,0.642
MRPL4,MRPL49,0.654
MRPL4,MRPL50,0.65
MYCBP,OTUD4,0.588
NAA10,RBM12,0.586
NDC1,PLEKHA7,0.612
OGDH,RACGAP1,0.656
OLA1,RAI14,0.598
PDCD11,PYGL,0.622
PFDN1,PFDN5,0.662
PHF23,RBBP7,0.632
PPFIA1,PPP2CA,0.59
PRKAR2A,SH3BGRL2,0.636
PYGL,SVIL,0.608
RACGAP1,WDR1,0.648
RBBP4,TIMM9,0.684
RBM10,WDR48,0.62
RCC1L,TRIM33,0.6
GIGYF1,PLOD3,0.614
ID1,TCF4,0.568
LDB1,PMPCA,0.624
MORF4L2,PHF12,0.59
ACADM,PDCD11,0.596
AGO2,EIF4E2,0.676
ALDH6A1,METTL15,0.634
ANXA1,KIAA1671,0.576
AP2A1,COA7,0.612
AP2A1,RDH13,0.604
AP2A2,BCKDK,0.626
ATXN2,COLGALT1,0.596
ATXN2,PPIC,0.566
BAG6,FBXO3,0.602
CDC73,CNOT10,0.634
CEP76,LMO7,0.596
CGN,POC1A,0.578
CHD1,KPNA3,0.594
CLTA,DCAF7,0.64
CLTC,HDAC3,0.598
CNOT10,MAGED2,0.616
CRTAP,P3H4,0.642
CTNNBIP1,TCF7L2,0.568
CTSA,XRCC1,0.618
CYB5R3,RBM10,0.584
DCAF7,MPRIP,0.586
DCP1A,WDR61,0.598
DDB1,PRPF6,0.62
DHX57,IDE,0.612
EDC4,YWHAG,0.588
ERCC3,KPNA1,0.608
FYN,KIAA1671,0.582
FYN,NEFM,0.596
GABARAP,ITPR3,0.64
GABARAP,P4HB,0.644
HDAC3,MPRIP,0.596
JPH1,MTMR1,0.612
KPNA1,MTREX,0.626
KPNA1,PELP1,0.6
KPNA1,RRP9,0.612
KPNA2,LEO1,0.606
KPNA2,RAD21,0.608
KPNA3,PDS5B,0.628
KPNA5,MTREX,0.626
KPNA5,PDS5B,0.626
KPNA5,SUPT16H,0.592
KPNA6,SIN3A,0.59
LIG3,MED23,0.658
LMO7,STUB1,0.57
LRRFIP2,OLA1,0.602
LSM4,LSM6,0.632
LSM6,TNRC6B,0.56
MAEA,RANBP9,0.618
METAP1D,TIMM44,0.606
MMS19,XPOT,0.622
MPRIP,P4HB,0.588
MRPL49,NSUN4,0.658
MRPL4,MRPS2,0.646
NAA10,PDCD11,0.592
NDUFA10,YME1L1,0.592
NF1,PMPCA,0.608
PFDN4,PFDN6,0.648
PLOD3,RFC1,0.608
POLDIP2,UBN2,0.58
PPP2CB,PRR14,0.6
RAB5C,UGGT1,0.666
RBBP7,TIMM9,0.676
RDH14,RO60,0.66
RNF216,YWHAG,0.578
SARS2,TRIM33,0.594
SPIN1,ZC3H18,0.574
