name,gene.x,gene.y,complexSize
"39S ribosomal subunit, mitochondrial",MRPL17,MRPL38,48
"39S ribosomal subunit, mitochondrial",MRPL17,MRPL4,48
"39S ribosomal subunit, mitochondrial",MRPL17,MRPL40,48
"39S ribosomal subunit, mitochondrial",MRPL17,MRPL45,48
"39S ribosomal subunit, mitochondrial",MRPL17,MRPL46,48
"39S ribosomal subunit, mitochondrial",MRPL17,MRPL49,48
"39S ribosomal subunit, mitochondrial",MRPL17,MRPL50,48
"39S ribosomal subunit, mitochondrial",MRPL17,MRPL55,48
"39S ribosomal subunit, mitochondrial",MRPL3,MRPL38,48
"39S ribosomal subunit, mitochondrial",MRPL3,MRPL4,48
"39S ribosomal subunit, mitochondrial",MRPL3,MRPL40,48
"39S ribosomal subunit, mitochondrial",MRPL3,MRPL45,48
"39S ribosomal subunit, mitochondrial",MRPL3,MRPL46,48
"39S ribosomal subunit, mitochondrial",MRPL3,MRPL49,48
"39S ribosomal subunit, mitochondrial",MRPL3,MRPL50,48
"39S ribosomal subunit, mitochondrial",MRPL3,MRPL55,48
"39S ribosomal subunit, mitochondrial",MRPL38,MRPL4,48
"39S ribosomal subunit, mitochondrial",MRPL38,MRPL40,48
"39S ribosomal subunit, mitochondrial",MRPL38,MRPL45,48
"39S ribosomal subunit, mitochondrial",MRPL38,MRPL46,48
"39S ribosomal subunit, mitochondrial",MRPL38,MRPL49,48
"39S ribosomal subunit, mitochondrial",MRPL38,MRPL50,48
"39S ribosomal subunit, mitochondrial",MRPL38,MRPL55,48
"39S ribosomal subunit, mitochondrial",MRPL4,MRPL40,48
"39S ribosomal subunit, mitochondrial",MRPL4,MRPL45,48
"39S ribosomal subunit, mitochondrial",MRPL4,MRPL46,48
"39S ribosomal subunit, mitochondrial",MRPL4,MRPL49,48
"39S ribosomal subunit, mitochondrial",MRPL4,MRPL50,48
"39S ribosomal subunit, mitochondrial",MRPL4,MRPL55,48
"39S ribosomal subunit, mitochondrial",MRPL40,MRPL45,48
"39S ribosomal subunit, mitochondrial",MRPL40,MRPL46,48
"39S ribosomal subunit, mitochondrial",MRPL40,MRPL49,48
"39S ribosomal subunit, mitochondrial",MRPL40,MRPL50,48
"39S ribosomal subunit, mitochondrial",MRPL40,MRPL55,48
"39S ribosomal subunit, mitochondrial",MRPL45,MRPL46,48
"39S ribosomal subunit, mitochondrial",MRPL45,MRPL49,48
"39S ribosomal subunit, mitochondrial",MRPL45,MRPL50,48
"39S ribosomal subunit, mitochondrial",MRPL45,MRPL55,48
"39S ribosomal subunit, mitochondrial",MRPL46,MRPL49,48
"39S ribosomal subunit, mitochondrial",MRPL46,MRPL50,48
"39S ribosomal subunit, mitochondrial",MRPL46,MRPL55,48
"39S ribosomal subunit, mitochondrial",MRPL49,MRPL50,48
"39S ribosomal subunit, mitochondrial",MRPL49,MRPL55,48
"39S ribosomal subunit, mitochondrial",MRPL50,MRPL55,48
3M complex,CCDC8,CUL7,7
3M complex,CCDC8,OBSL1,7
3M complex,CCDC8,TP53,7
3M complex,CUL7,OBSL1,7
3M complex,CUL7,TP53,7
3M complex,OBSL1,TP53,7
3M core complex,CCDC8,CUL7,3
3M core complex,CCDC8,OBSL1,3
3M core complex,CUL7,OBSL1,3
4E-T-DDX6-CNOT1 complex,CNOT1,EIF4ENIF1,3
"55S ribosome, mitochondrial",LACTB,MRPL17,78
"55S ribosome, mitochondrial",LACTB,MRPL3,78
"55S ribosome, mitochondrial",LACTB,MRPL38,78
"55S ribosome, mitochondrial",LACTB,MRPL4,78
"55S ribosome, mitochondrial",LACTB,MRPL40,78
"55S ribosome, mitochondrial",LACTB,MRPL45,78
"55S ribosome, mitochondrial",LACTB,MRPL46,78
"55S ribosome, mitochondrial",LACTB,MRPL49,78
"55S ribosome, mitochondrial",LACTB,MRPL50,78
"55S ribosome, mitochondrial",LACTB,MRPL55,78
"55S ribosome, mitochondrial",LACTB,MRPS18A,78
"55S ribosome, mitochondrial",LACTB,MRPS2,78
"55S ribosome, mitochondrial",LACTB,MRPS23,78
"55S ribosome, mitochondrial",LACTB,MRPS28,78
"55S ribosome, mitochondrial",LACTB,MRPS5,78
"55S ribosome, mitochondrial",LACTB,MRPS9,78
"55S ribosome, mitochondrial",MRPL17,MRPL3,78
"55S ribosome, mitochondrial",MRPL17,MRPL38,78
"55S ribosome, mitochondrial",MRPL17,MRPL4,78
"55S ribosome, mitochondrial",MRPL17,MRPL40,78
"55S ribosome, mitochondrial",MRPL17,MRPL45,78
"55S ribosome, mitochondrial",MRPL17,MRPL46,78
"55S ribosome, mitochondrial",MRPL17,MRPL49,78
"55S ribosome, mitochondrial",MRPL17,MRPL50,78
"55S ribosome, mitochondrial",MRPL17,MRPL55,78
"55S ribosome, mitochondrial",MRPL17,MRPS18A,78
"55S ribosome, mitochondrial",MRPL17,MRPS2,78
"55S ribosome, mitochondrial",MRPL17,MRPS23,78
"55S ribosome, mitochondrial",MRPL17,MRPS28,78
"55S ribosome, mitochondrial",MRPL17,MRPS5,78
"55S ribosome, mitochondrial",MRPL17,MRPS9,78
"55S ribosome, mitochondrial",MRPL3,MRPL38,78
"55S ribosome, mitochondrial",MRPL3,MRPL4,78
"55S ribosome, mitochondrial",MRPL3,MRPL40,78
"55S ribosome, mitochondrial",MRPL3,MRPL45,78
"55S ribosome, mitochondrial",MRPL3,MRPL46,78
"55S ribosome, mitochondrial",MRPL3,MRPL49,78
"55S ribosome, mitochondrial",MRPL3,MRPL50,78
"55S ribosome, mitochondrial",MRPL3,MRPL55,78
"55S ribosome, mitochondrial",MRPL3,MRPS18A,78
"55S ribosome, mitochondrial",MRPL3,MRPS2,78
"55S ribosome, mitochondrial",MRPL3,MRPS23,78
"55S ribosome, mitochondrial",MRPL3,MRPS28,78
"55S ribosome, mitochondrial",MRPL3,MRPS5,78
"55S ribosome, mitochondrial",MRPL3,MRPS9,78
"55S ribosome, mitochondrial",MRPL38,MRPL4,78
"55S ribosome, mitochondrial",MRPL38,MRPL40,78
"55S ribosome, mitochondrial",MRPL38,MRPL45,78
"55S ribosome, mitochondrial",MRPL38,MRPL46,78
"55S ribosome, mitochondrial",MRPL38,MRPL49,78
"55S ribosome, mitochondrial",MRPL38,MRPL50,78
"55S ribosome, mitochondrial",MRPL38,MRPL55,78
"55S ribosome, mitochondrial",MRPL38,MRPS18A,78
"55S ribosome, mitochondrial",MRPL38,MRPS2,78
"55S ribosome, mitochondrial",MRPL38,MRPS23,78
"55S ribosome, mitochondrial",MRPL38,MRPS28,78
"55S ribosome, mitochondrial",MRPL38,MRPS5,78
"55S ribosome, mitochondrial",MRPL38,MRPS9,78
"55S ribosome, mitochondrial",MRPL4,MRPL40,78
"55S ribosome, mitochondrial",MRPL4,MRPL45,78
"55S ribosome, mitochondrial",MRPL4,MRPL46,78
"55S ribosome, mitochondrial",MRPL4,MRPL49,78
"55S ribosome, mitochondrial",MRPL4,MRPL50,78
"55S ribosome, mitochondrial",MRPL4,MRPL55,78
"55S ribosome, mitochondrial",MRPL4,MRPS18A,78
"55S ribosome, mitochondrial",MRPL4,MRPS2,78
"55S ribosome, mitochondrial",MRPL4,MRPS23,78
"55S ribosome, mitochondrial",MRPL4,MRPS28,78
"55S ribosome, mitochondrial",MRPL4,MRPS5,78
"55S ribosome, mitochondrial",MRPL4,MRPS9,78
"55S ribosome, mitochondrial",MRPL40,MRPL45,78
"55S ribosome, mitochondrial",MRPL40,MRPL46,78
"55S ribosome, mitochondrial",MRPL40,MRPL49,78
"55S ribosome, mitochondrial",MRPL40,MRPL50,78
"55S ribosome, mitochondrial",MRPL40,MRPL55,78
"55S ribosome, mitochondrial",MRPL40,MRPS18A,78
"55S ribosome, mitochondrial",MRPL40,MRPS2,78
"55S ribosome, mitochondrial",MRPL40,MRPS23,78
"55S ribosome, mitochondrial",MRPL40,MRPS28,78
"55S ribosome, mitochondrial",MRPL40,MRPS5,78
"55S ribosome, mitochondrial",MRPL40,MRPS9,78
"55S ribosome, mitochondrial",MRPL45,MRPL46,78
"55S ribosome, mitochondrial",MRPL45,MRPL49,78
"55S ribosome, mitochondrial",MRPL45,MRPL50,78
"55S ribosome, mitochondrial",MRPL45,MRPL55,78
"55S ribosome, mitochondrial",MRPL45,MRPS18A,78
"55S ribosome, mitochondrial",MRPL45,MRPS2,78
"55S ribosome, mitochondrial",MRPL45,MRPS23,78
"55S ribosome, mitochondrial",MRPL45,MRPS28,78
"55S ribosome, mitochondrial",MRPL45,MRPS5,78
"55S ribosome, mitochondrial",MRPL45,MRPS9,78
"55S ribosome, mitochondrial",MRPL46,MRPL49,78
"55S ribosome, mitochondrial",MRPL46,MRPL50,78
"55S ribosome, mitochondrial",MRPL46,MRPL55,78
"55S ribosome, mitochondrial",MRPL46,MRPS18A,78
"55S ribosome, mitochondrial",MRPL46,MRPS2,78
"55S ribosome, mitochondrial",MRPL46,MRPS23,78
"55S ribosome, mitochondrial",MRPL46,MRPS28,78
"55S ribosome, mitochondrial",MRPL46,MRPS5,78
"55S ribosome, mitochondrial",MRPL46,MRPS9,78
"55S ribosome, mitochondrial",MRPL49,MRPL50,78
"55S ribosome, mitochondrial",MRPL49,MRPL55,78
"55S ribosome, mitochondrial",MRPL49,MRPS18A,78
"55S ribosome, mitochondrial",MRPL49,MRPS2,78
"55S ribosome, mitochondrial",MRPL49,MRPS23,78
"55S ribosome, mitochondrial",MRPL49,MRPS28,78
"55S ribosome, mitochondrial",MRPL49,MRPS5,78
"55S ribosome, mitochondrial",MRPL49,MRPS9,78
"55S ribosome, mitochondrial",MRPL50,MRPL55,78
"55S ribosome, mitochondrial",MRPL50,MRPS18A,78
"55S ribosome, mitochondrial",MRPL50,MRPS2,78
"55S ribosome, mitochondrial",MRPL50,MRPS23,78
"55S ribosome, mitochondrial",MRPL50,MRPS28,78
"55S ribosome, mitochondrial",MRPL50,MRPS5,78
"55S ribosome, mitochondrial",MRPL50,MRPS9,78
"55S ribosome, mitochondrial",MRPL55,MRPS18A,78
"55S ribosome, mitochondrial",MRPL55,MRPS2,78
"55S ribosome, mitochondrial",MRPL55,MRPS23,78
"55S ribosome, mitochondrial",MRPL55,MRPS28,78
"55S ribosome, mitochondrial",MRPL55,MRPS5,78
"55S ribosome, mitochondrial",MRPL55,MRPS9,78
"55S ribosome, mitochondrial",MRPS18A,MRPS2,78
"55S ribosome, mitochondrial",MRPS18A,MRPS23,78
"55S ribosome, mitochondrial",MRPS18A,MRPS28,78
"55S ribosome, mitochondrial",MRPS18A,MRPS5,78
"55S ribosome, mitochondrial",MRPS18A,MRPS9,78
"55S ribosome, mitochondrial",MRPS2,MRPS23,78
"55S ribosome, mitochondrial",MRPS2,MRPS28,78
"55S ribosome, mitochondrial",MRPS2,MRPS5,78
"55S ribosome, mitochondrial",MRPS2,MRPS9,78
"55S ribosome, mitochondrial",MRPS23,MRPS28,78
"55S ribosome, mitochondrial",MRPS23,MRPS5,78
"55S ribosome, mitochondrial",MRPS23,MRPS9,78
"55S ribosome, mitochondrial",MRPS28,MRPS5,78
"55S ribosome, mitochondrial",MRPS28,MRPS9,78
"55S ribosome, mitochondrial",MRPS5,MRPS9,78
5FMC (Friends of Methylated Chtop) complex,PELP1,SENP3,5
5FMC (Friends of Methylated Chtop) complex,PELP1,TEX10,5
5FMC (Friends of Methylated Chtop) complex,SENP3,TEX10,5
60S APC containing complex,APC,IQGAP1,4
ABI1-WASL complex,ABI1,WASL,2
ADIPOQ-PLOD3-GLT25D1 complex,COLGALT1,PLOD3,3
ALL-1 supercomplex,CHD3,CPSF2,28
ALL-1 supercomplex,CHD3,EFTUD2,28
ALL-1 supercomplex,CHD3,HDAC1,28
ALL-1 supercomplex,CHD3,HDAC2,28
ALL-1 supercomplex,CHD3,KDM1A,28
ALL-1 supercomplex,CHD3,MBD3,28
ALL-1 supercomplex,CHD3,MTA2,28
ALL-1 supercomplex,CHD3,RBBP4,28
ALL-1 supercomplex,CHD3,RBBP5,28
ALL-1 supercomplex,CHD3,RBBP7,28
ALL-1 supercomplex,CHD3,SAP30,28
ALL-1 supercomplex,CHD3,SIN3A,28
ALL-1 supercomplex,CHD3,SMARCB1,28
ALL-1 supercomplex,CHD3,SMARCC1,28
ALL-1 supercomplex,CHD3,SMARCC2,28
ALL-1 supercomplex,CPSF2,EFTUD2,28
ALL-1 supercomplex,CPSF2,HDAC1,28
ALL-1 supercomplex,CPSF2,HDAC2,28
ALL-1 supercomplex,CPSF2,KDM1A,28
ALL-1 supercomplex,CPSF2,MBD3,28
ALL-1 supercomplex,CPSF2,MTA2,28
ALL-1 supercomplex,CPSF2,RBBP4,28
ALL-1 supercomplex,CPSF2,RBBP5,28
ALL-1 supercomplex,CPSF2,RBBP7,28
ALL-1 supercomplex,CPSF2,SAP30,28
ALL-1 supercomplex,CPSF2,SIN3A,28
ALL-1 supercomplex,CPSF2,SMARCB1,28
ALL-1 supercomplex,CPSF2,SMARCC1,28
ALL-1 supercomplex,CPSF2,SMARCC2,28
ALL-1 supercomplex,EFTUD2,HDAC1,28
ALL-1 supercomplex,EFTUD2,HDAC2,28
ALL-1 supercomplex,EFTUD2,KDM1A,28
ALL-1 supercomplex,EFTUD2,MBD3,28
ALL-1 supercomplex,EFTUD2,MTA2,28
ALL-1 supercomplex,EFTUD2,RBBP4,28
ALL-1 supercomplex,EFTUD2,RBBP5,28
ALL-1 supercomplex,EFTUD2,RBBP7,28
ALL-1 supercomplex,EFTUD2,SAP30,28
ALL-1 supercomplex,EFTUD2,SIN3A,28
ALL-1 supercomplex,EFTUD2,SMARCB1,28
ALL-1 supercomplex,EFTUD2,SMARCC1,28
ALL-1 supercomplex,EFTUD2,SMARCC2,28
ALL-1 supercomplex,HDAC1,HDAC2,28
ALL-1 supercomplex,HDAC1,KDM1A,28
ALL-1 supercomplex,HDAC1,MBD3,28
ALL-1 supercomplex,HDAC1,MTA2,28
ALL-1 supercomplex,HDAC1,RBBP4,28
ALL-1 supercomplex,HDAC1,RBBP5,28
ALL-1 supercomplex,HDAC1,RBBP7,28
ALL-1 supercomplex,HDAC1,SAP30,28
ALL-1 supercomplex,HDAC1,SIN3A,28
ALL-1 supercomplex,HDAC1,SMARCB1,28
ALL-1 supercomplex,HDAC1,SMARCC1,28
ALL-1 supercomplex,HDAC1,SMARCC2,28
ALL-1 supercomplex,HDAC2,KDM1A,28
ALL-1 supercomplex,HDAC2,MBD3,28
ALL-1 supercomplex,HDAC2,MTA2,28
ALL-1 supercomplex,HDAC2,RBBP4,28
ALL-1 supercomplex,HDAC2,RBBP5,28
ALL-1 supercomplex,HDAC2,RBBP7,28
ALL-1 supercomplex,HDAC2,SAP30,28
ALL-1 supercomplex,HDAC2,SIN3A,28
ALL-1 supercomplex,HDAC2,SMARCB1,28
ALL-1 supercomplex,HDAC2,SMARCC1,28
ALL-1 supercomplex,HDAC2,SMARCC2,28
ALL-1 supercomplex,KDM1A,MBD3,28
ALL-1 supercomplex,KDM1A,MTA2,28
ALL-1 supercomplex,KDM1A,RBBP4,28
ALL-1 supercomplex,KDM1A,RBBP5,28
ALL-1 supercomplex,KDM1A,RBBP7,28
ALL-1 supercomplex,KDM1A,SAP30,28
ALL-1 supercomplex,KDM1A,SIN3A,28
ALL-1 supercomplex,KDM1A,SMARCB1,28
ALL-1 supercomplex,KDM1A,SMARCC1,28
ALL-1 supercomplex,KDM1A,SMARCC2,28
ALL-1 supercomplex,MBD3,MTA2,28
ALL-1 supercomplex,MBD3,RBBP4,28
ALL-1 supercomplex,MBD3,RBBP5,28
ALL-1 supercomplex,MBD3,RBBP7,28
ALL-1 supercomplex,MBD3,SAP30,28
ALL-1 supercomplex,MBD3,SIN3A,28
ALL-1 supercomplex,MBD3,SMARCB1,28
ALL-1 supercomplex,MBD3,SMARCC1,28
ALL-1 supercomplex,MBD3,SMARCC2,28
ALL-1 supercomplex,MTA2,RBBP4,28
ALL-1 supercomplex,MTA2,RBBP5,28
ALL-1 supercomplex,MTA2,RBBP7,28
ALL-1 supercomplex,MTA2,SAP30,28
ALL-1 supercomplex,MTA2,SIN3A,28
ALL-1 supercomplex,MTA2,SMARCB1,28
ALL-1 supercomplex,MTA2,SMARCC1,28
ALL-1 supercomplex,MTA2,SMARCC2,28
ALL-1 supercomplex,RBBP4,RBBP5,28
ALL-1 supercomplex,RBBP4,RBBP7,28
ALL-1 supercomplex,RBBP4,SAP30,28
ALL-1 supercomplex,RBBP4,SIN3A,28
ALL-1 supercomplex,RBBP4,SMARCB1,28
ALL-1 supercomplex,RBBP4,SMARCC1,28
ALL-1 supercomplex,RBBP4,SMARCC2,28
ALL-1 supercomplex,RBBP5,RBBP7,28
ALL-1 supercomplex,RBBP5,SAP30,28
ALL-1 supercomplex,RBBP5,SIN3A,28
ALL-1 supercomplex,RBBP5,SMARCB1,28
ALL-1 supercomplex,RBBP5,SMARCC1,28
ALL-1 supercomplex,RBBP5,SMARCC2,28
ALL-1 supercomplex,RBBP7,SAP30,28
ALL-1 supercomplex,RBBP7,SIN3A,28
ALL-1 supercomplex,RBBP7,SMARCB1,28
ALL-1 supercomplex,RBBP7,SMARCC1,28
ALL-1 supercomplex,RBBP7,SMARCC2,28
ALL-1 supercomplex,SAP30,SIN3A,28
ALL-1 supercomplex,SAP30,SMARCB1,28
ALL-1 supercomplex,SAP30,SMARCC1,28
ALL-1 supercomplex,SAP30,SMARCC2,28
ALL-1 supercomplex,SIN3A,SMARCB1,28
ALL-1 supercomplex,SIN3A,SMARCC1,28
ALL-1 supercomplex,SIN3A,SMARCC2,28
ALL-1 supercomplex,SMARCB1,SMARCC1,28
ALL-1 supercomplex,SMARCB1,SMARCC2,28
ALL-1 supercomplex,SMARCC1,SMARCC2,28
ANCO1-HDAC3  complex,ANKRD11,HDAC3,2
ANKRA2-CCDC8-OBSL1-CUL7 complex,CCDC8,CUL7,4
ANKRA2-CCDC8-OBSL1-CUL7 complex,CCDC8,OBSL1,4
ANKRA2-CCDC8-OBSL1-CUL7 complex,CUL7,OBSL1,4
AP1 adaptor complex,AP1B1,AP1G1,8
AP1 adaptor complex,AP1B1,AP1M1,8
AP1 adaptor complex,AP1G1,AP1M1,8
AP1B1-AP1G2-AP1M-1AP1S1 complex,AP1B1,AP1M1,4
APC-AXIN1-CTNNB1 complex,APC,AXIN1,3
APC-AXIN1-CTNNB1 complex,APC,CTNNB1,3
APC-AXIN1-CTNNB1 complex,AXIN1,CTNNB1,3
APC-IQGAP1 complex,APC,IQGAP1,2
APC-IQGAP1-CLIP-170 complex,APC,IQGAP1,3
APC-IQGAP1-Cdc42 complex,APC,IQGAP1,3
APC-IQGAP1-Rac1 complex,APC,IQGAP1,3
ARC complex,MED1,MED12,18
ARC complex,MED1,MED14,18
ARC complex,MED1,MED15,18
ARC complex,MED1,MED17,18
ARC complex,MED1,MED23,18
ARC complex,MED1,MED24,18
ARC complex,MED1,MED26,18
ARC complex,MED1,MED4,18
ARC complex,MED12,MED14,18
ARC complex,MED12,MED15,18
ARC complex,MED12,MED17,18
ARC complex,MED12,MED23,18
ARC complex,MED12,MED24,18
ARC complex,MED12,MED26,18
ARC complex,MED12,MED4,18
ARC complex,MED14,MED15,18
ARC complex,MED14,MED17,18
ARC complex,MED14,MED23,18
ARC complex,MED14,MED24,18
ARC complex,MED14,MED26,18
ARC complex,MED14,MED4,18
ARC complex,MED15,MED17,18
ARC complex,MED15,MED23,18
ARC complex,MED15,MED24,18
ARC complex,MED15,MED26,18
ARC complex,MED15,MED4,18
ARC complex,MED17,MED23,18
ARC complex,MED17,MED24,18
ARC complex,MED17,MED26,18
ARC complex,MED17,MED4,18
ARC complex,MED23,MED24,18
ARC complex,MED23,MED26,18
ARC complex,MED23,MED4,18
ARC complex,MED24,MED26,18
ARC complex,MED24,MED4,18
ARC complex,MED26,MED4,18
ARC-L complex,MED1,MED12,14
ARC-L complex,MED1,MED14,14
ARC-L complex,MED1,MED15,14
ARC-L complex,MED1,MED17,14
ARC-L complex,MED1,MED23,14
ARC-L complex,MED1,MED24,14
ARC-L complex,MED12,MED14,14
ARC-L complex,MED12,MED15,14
ARC-L complex,MED12,MED17,14
ARC-L complex,MED12,MED23,14
ARC-L complex,MED12,MED24,14
ARC-L complex,MED14,MED15,14
ARC-L complex,MED14,MED17,14
ARC-L complex,MED14,MED23,14
ARC-L complex,MED14,MED24,14
ARC-L complex,MED15,MED17,14
ARC-L complex,MED15,MED23,14
ARC-L complex,MED15,MED24,14
ARC-L complex,MED17,MED23,14
ARC-L complex,MED17,MED24,14
ARC-L complex,MED23,MED24,14
ARC92-Mediator complex,MED1,MED12,13
ARC92-Mediator complex,MED1,MED14,13
ARC92-Mediator complex,MED1,MED15,13
ARC92-Mediator complex,MED1,MED16,13
ARC92-Mediator complex,MED1,MED17,13
ARC92-Mediator complex,MED1,MED23,13
ARC92-Mediator complex,MED1,MED26,13
ARC92-Mediator complex,MED12,MED14,13
ARC92-Mediator complex,MED12,MED15,13
ARC92-Mediator complex,MED12,MED16,13
ARC92-Mediator complex,MED12,MED17,13
ARC92-Mediator complex,MED12,MED23,13
ARC92-Mediator complex,MED12,MED26,13
ARC92-Mediator complex,MED14,MED15,13
ARC92-Mediator complex,MED14,MED16,13
ARC92-Mediator complex,MED14,MED17,13
ARC92-Mediator complex,MED14,MED23,13
ARC92-Mediator complex,MED14,MED26,13
ARC92-Mediator complex,MED15,MED16,13
ARC92-Mediator complex,MED15,MED17,13
ARC92-Mediator complex,MED15,MED23,13
ARC92-Mediator complex,MED15,MED26,13
ARC92-Mediator complex,MED16,MED17,13
ARC92-Mediator complex,MED16,MED23,13
ARC92-Mediator complex,MED16,MED26,13
ARC92-Mediator complex,MED17,MED23,13
ARC92-Mediator complex,MED17,MED26,13
ARC92-Mediator complex,MED23,MED26,13
ARD1-NATH complex,NAA15,TRIM23,2
ASCOM complex,ASH2L,KMT2C,7
ASCOM complex,ASH2L,NCOA6,7
ASCOM complex,ASH2L,RBBP5,7
ASCOM complex,KMT2C,NCOA6,7
ASCOM complex,KMT2C,RBBP5,7
ASCOM complex,NCOA6,RBBP5,7
ASF1-interacting protein complex,CHAF1B,HIRA,6
ASH2L-KDM6B-KDM6B-WDR5 complex,ASH2L,KDM6B,4
ASH2L-KDM6B-KDM6B-WDR5 complex,ASH2L,RBBP5,4
ASH2L-KDM6B-KDM6B-WDR5 complex,KDM6B,RBBP5,4
ASXL1-HCFC1-OGT complex,HCFC1,OGT,3
"ATAC complex, YEATS2-linked",SGF29,UBAP2L,14
ATR-HDAC2-CHD4 complex,CHD4,HDAC2,3
AUP1-OS9-SEL1L-UBC6e-UBXD8 complex,AUP1,SEL1L,5
AXIN1-APC-CTNNB1-GSK3B complex,APC,AXIN1,4
AXIN1-APC-CTNNB1-GSK3B complex,APC,CTNNB1,4
AXIN1-APC-CTNNB1-GSK3B complex,AXIN1,CTNNB1,4
AXIN1-GID8-GSK3B complex,AXIN1,GID8,3
Afadin-beta-catenin complex,AFDN,CTNNB1,2
Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex,FANCD2,FANCI,7
Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex,FANCD2,WDR48,7
Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex,FANCI,WDR48,7
Anti-HDAC2 complex,CHD3,CHD4,17
Anti-HDAC2 complex,CHD3,HDAC1,17
Anti-HDAC2 complex,CHD3,HDAC2,17
Anti-HDAC2 complex,CHD3,HMG20B,17
Anti-HDAC2 complex,CHD3,KDM1A,17
Anti-HDAC2 complex,CHD3,MTA1,17
Anti-HDAC2 complex,CHD3,MTA2,17
Anti-HDAC2 complex,CHD3,PHF21A,17
Anti-HDAC2 complex,CHD3,RBBP4,17
Anti-HDAC2 complex,CHD3,RBBP7,17
Anti-HDAC2 complex,CHD3,RCOR1,17
Anti-HDAC2 complex,CHD3,SIN3A,17
Anti-HDAC2 complex,CHD3,ZMYM2,17
Anti-HDAC2 complex,CHD3,ZMYM3,17
Anti-HDAC2 complex,CHD4,HDAC1,17
Anti-HDAC2 complex,CHD4,HDAC2,17
Anti-HDAC2 complex,CHD4,HMG20B,17
Anti-HDAC2 complex,CHD4,KDM1A,17
Anti-HDAC2 complex,CHD4,MTA1,17
Anti-HDAC2 complex,CHD4,MTA2,17
Anti-HDAC2 complex,CHD4,PHF21A,17
Anti-HDAC2 complex,CHD4,RBBP4,17
Anti-HDAC2 complex,CHD4,RBBP7,17
Anti-HDAC2 complex,CHD4,RCOR1,17
Anti-HDAC2 complex,CHD4,SIN3A,17
Anti-HDAC2 complex,CHD4,ZMYM2,17
Anti-HDAC2 complex,CHD4,ZMYM3,17
Anti-HDAC2 complex,HDAC1,HDAC2,17
Anti-HDAC2 complex,HDAC1,HMG20B,17
Anti-HDAC2 complex,HDAC1,KDM1A,17
Anti-HDAC2 complex,HDAC1,MTA1,17
Anti-HDAC2 complex,HDAC1,MTA2,17
Anti-HDAC2 complex,HDAC1,PHF21A,17
Anti-HDAC2 complex,HDAC1,RBBP4,17
Anti-HDAC2 complex,HDAC1,RBBP7,17
Anti-HDAC2 complex,HDAC1,RCOR1,17
Anti-HDAC2 complex,HDAC1,SIN3A,17
Anti-HDAC2 complex,HDAC1,ZMYM2,17
Anti-HDAC2 complex,HDAC1,ZMYM3,17
Anti-HDAC2 complex,HDAC2,HMG20B,17
Anti-HDAC2 complex,HDAC2,KDM1A,17
Anti-HDAC2 complex,HDAC2,MTA1,17
Anti-HDAC2 complex,HDAC2,MTA2,17
Anti-HDAC2 complex,HDAC2,PHF21A,17
Anti-HDAC2 complex,HDAC2,RBBP4,17
Anti-HDAC2 complex,HDAC2,RBBP7,17
Anti-HDAC2 complex,HDAC2,RCOR1,17
Anti-HDAC2 complex,HDAC2,SIN3A,17
